Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF_IK_CONS:x_avg_dot_d	GVF_IK_CONS:x_avg	GVF_IK_CONS:error	GVF_IK:gamma_omega	GVF_IK:gamma_A	GVF_IK:gamma_dot	GVF_IK:gamma	GVF_IK:error	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error_n	GVF:ke	GVF:s	GVF:error	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_block	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
651.467	10:11:46.467	37.297615799	-3.683918041	0.	0.	0.	0.6	20.	0.	0.	0.	0.716768	-0.081129	0.017191	-0.004142	0.797896	0.6	1	-0.40154	6	110.	21.8	-107.8	4	1681	749642	3117	412810791	43938527	0.417571	-0.866492	0.211755
651.717	10:11:46.717	37.297665788	-3.683986981	0.	0.	0.	0.6	20.	0.	0.	0.	0.704407	-0.098109	0.016565	-0.004416	0.802516	0.6	1	-0.444341	6	113.5	24.5	-110.8	4	1662	753905	3137	412811350	43937920	0.417571	-0.866492	0.211755
651.967	10:11:46.967	37.297665788	-3.683986981	0.	0.	0.	0.6	20.	0.	0.	0.	0.682937	-0.118845	0.015914	-0.004651	0.801782	0.6	1	-0.48714	7	117.	27.5	-113.8	4	1662	753905	3137	412811350	43937920	0.384576	-0.798375	0.349229
652.217	10:11:47.217	37.297692455	-3.684020507	0.	0.	0.	0.6	20.	0.	0.	0.	0.683136	-0.133345	0.015243	-0.004843	0.816481	0.6	1	-0.529518	7	120.6	30.8	-116.6	4	1676	755897	3151	412811648	43937625	0.384576	-0.798375	0.349229
652.467	10:11:47.467	37.297720389	-3.684053254	0.	0.	0.	0.6	20.	0.	0.	0.	0.681273	-0.14695	0.014607	-0.004977	0.828223	0.6	1	-0.567932	7	124.1	34.	-119.3	4	1687	757766	3183	412811960	43937337	0.382987	-0.664717	0.389058
652.717	10:11:47.717	37.297749688	-3.684083758	0.	0.	0.	0.6	20.	0.	0.	0.	0.672171	-0.165164	0.013943	-0.005072	0.837334	0.6	1	-0.60635	7	127.4	37.5	-121.8	4	1680	759712	3214	412812287	43937069	0.382987	-0.664717	0.389058
652.967	10:11:47.967	37.297780353	-3.684111792	0.	0.	0.	0.6	20.	0.	0.	0.	0.635795	-0.193086	0.013328	-0.00512	0.828881	0.6	1	-0.640276	8	130.8	41.	-124.2	4	1696	761699	3245	412812629	43936823	0.370081	-0.570306	0.392821
653.217	10:11:48.217	37.297812734	-3.684139389	0.	0.	0.	0.6	20.	0.	0.	0.	0.579467	-0.227273	0.012706	-0.005131	0.806739	0.6	1	-0.673101	8	134.2	44.8	-126.5	4	1726	763535	3262	412812990	43936581	0.370081	-0.570306	0.392821
653.467	10:11:48.467	37.297845930	-3.684166092	0.	0.	0.	0.6	20.	0.	0.	0.	0.614098	-0.226678	0.012162	-0.005111	0.840776	0.6	1	-0.700493	8	137.3	48.2	-128.5	4	1740	765219	3270	412813360	43936347	0.375287	-0.443716	0.540259
653.717	10:11:48.717	37.297879870	-3.684188965	0.	0.	0.	0.6	20.	0.	0.	0.	0.587279	-0.254018	0.011489	-0.005051	0.841297	0.6	1	-0.73272	8	140.5	52.5	-130.3	4	1712	767047	3335	412813738	43936147	0.375287	-0.443716	0.540259
653.967	10:11:48.967	37.297914998	-3.684209029	0.	0.	0.	0.6	20.	0.	0.	0.	0.58918	-0.266576	0.010923	-0.00497	0.855756	0.6	1	-0.758375	9	143.1	56.2	-131.6	4	1725	768820	3370	412814129	43935972	0.356602	-0.289403	0.567602
654.217	10:11:49.217	37.297950785	-3.684224246	0.	0.	0.	0.6	20.	0.	0.	0.	0.573742	-0.291596	0.010272	-0.004846	0.865338	0.6	1	-0.786353	9	145.7	60.5	-132.6	4	1710	770781	3419	412814527	43935840	0.356602	-0.289403	0.567602
654.467	10:11:49.467	37.297987766	-3.684235639	0.	0.	0.	0.6	20.	0.	0.	0.	0.538869	-0.324088	0.009709	-0.004713	0.862958	0.6	1	-0.809106	9	148.2	64.5	-133.4	4	1725	772757	3468	412814938	43935742	0.345488	-0.139554	0.546355
654.717	10:11:49.717	37.298026201	-3.684244900	0.	0.	0.	0.6	20.	0.	0.	0.	0.497577	-0.360546	0.009087	-0.00454	0.858123	0.6	1	-0.832801	9	150.6	69.	-133.9	4	1749	774469	3508	412815365	43935663	0.345488	-0.139554	0.546355
654.967	10:11:49.967	37.298065467	-3.684250898	0.	0.	0.	0.6	20.	0.	0.	0.	0.462022	-0.394666	0.008518	-0.00436	0.856687	0.6	1	-0.853066	10	152.7	73.2	-134.	4	1754	776104	3552	412815801	43935613	0.331855	-0.01269	0.523403
655.217	10:11:50.217	37.298104936	-3.684252948	0.	0.	0.	0.6	20.	0.	0.	0.	0.391415	-0.444805	0.007951	-0.00416	0.83622	0.6	1	-0.871979	10	154.8	77.8	-133.8	4	1755	777754	2	412816239	43935598	0.331855	-0.01269	0.523403
655.467	10:11:50.467	37.298144429	-3.684250710	0.	0.	0.	0.6	20.	0.	0.	0.	0.33509	-0.482364	0.007419	-0.003955	0.817454	0.6	1	-0.888552	10	156.6	82.2	-133.2	4	1758	779408	42	412816677	43935621	0.328902	0.131208	0.491994
655.717	10:11:50.717	37.298183131	-3.684244968	0.	0.	0.	0.6	20.	0.	0.	0.	0.269399	-0.517515	0.006997	-0.003782	0.786914	0.6	1	-0.900862	10	157.9	86.	-132.4	4	1713	781017	92	412817106	43935675	0.328902	0.131208	0.491994
655.967	10:11:50.967	37.298183131	-3.684244968	0.	0.	0.	0.6	20.	0.	0.	0.	0.204001	-0.552728	0.006624	-0.003621	0.756729	0.6	1	-0.911151	11	159.4	90.2	-131.4	4	1713	781017	92	412817106	43935675	0.331068	0.311953	0.515203
656.217	10:11:51.217	37.298255990	-3.684224755	0.	0.	0.	0.6	20.	0.	0.	0.	0.204001	-0.552728	0.006624	-0.003621	0.756729	0.6	1	-0.911151	11	160.3	93.8	-130.	4	1633	783880	182	412817913	43935860	0.331068	0.311953	0.515203
656.467	10:11:51.467	37.298289520	-3.684209375	0.	0.	0.	0.6	20.	0.	0.	0.	0.079475	-0.603834	0.006051	-0.003362	0.683309	0.6	1	-0.925845	11	161.1	97.2	-128.4	4	1580	785255	232	412818284	43935999	0.319173	0.506188	0.491037
656.717	10:11:51.717	37.298320994	-3.684190930	0.	0.	0.	0.6	20.	0.	0.	0.	0.010098	-0.625375	0.005858	-0.003271	0.635473	0.6	1	-0.930508	11	161.5	100.5	-126.5	4	1552	786535	280	412818632	43936165	0.319173	0.506188	0.491037
656.967	10:11:51.967	37.298320994	-3.684190930	0.	0.	0.	0.6	20.	0.	0.	0.	-0.053423	-0.63703	0.005757	-0.003222	0.583607	0.6	1	-0.932891	12	161.9	103.8	-124.3	4	1552	786535	280	412818632	43936165	0.33771	0.667727	0.415895
657.217	10:11:52.217	37.298377771	-3.684145861	0.	0.	0.	0.6	20.	0.	0.	0.	-0.132461	-0.644255	0.005682	-0.003186	0.511794	0.6	1	-0.934634	12	161.9	106.5	-121.9	4	1505	788872	387	412819259	43936569	0.33771	0.667727	0.415895
657.467	10:11:52.467	37.298403167	-3.684118786	0.	0.	0.	0.6	20.	0.	0.	0.	-0.132461	-0.644255	0.005682	-0.003186	0.511794	0.6	1	-0.934634	12	161.6	109.	-119.3	4	1486	790043	428	412819539	43936811	0.324526	0.852103	0.387792
657.717	10:11:52.717	37.298426319	-3.684089773	0.	0.	0.	0.6	20.	0.	0.	0.	-0.228231	-0.619937	0.00574	-0.003214	0.391706	0.6	1	-0.933289	12	161.1	111.2	-116.5	4	1461	791106	479	412819794	43937070	0.324526	0.852103	0.387792
657.967	10:11:52.967	37.298447141	-3.684058595	0.	0.	0.	0.6	20.	0.	0.	0.	-0.282345	-0.598207	0.00586	-0.003272	0.315863	0.6	1	-0.930463	13	160.4	113.2	-113.6	4	1440	792224	529	412820023	43937348	0.306843	0.997549	0.534507
658.217	10:11:53.217	37.298465716	-3.684026381	0.	0.	0.	0.6	20.	0.	0.	0.	-0.282345	-0.598207	0.00586	-0.003272	0.315863	0.6	1	-0.930463	13	159.7	115.2	-110.6	4	1428	793257	568	412820227	43937635	0.306843	0.997549	0.534507
658.467	10:11:53.467	37.298482140	-3.683991891	0.	0.	0.	0.6	20.	0.	0.	0.	-0.313608	-0.556698	0.006258	-0.003457	0.24309	0.6	1	-0.920692	13	158.4	116.5	-107.3	4	1434	794278	623	412820407	43937942	0.247178	1.244402	0.43073
